class_key,class_key_long,top_level,second_level,description,examples
m-0,m-0,Music,,"Music excerpts, melodies, loops, fillers, drones and short musical snippets.",
m-sp,m-solo_perc,Music,Solo percussion,Music excerpts with solo percussive instruments.,"rhythmic patterns, unpitched percussion excerpts, drum passages"
m-si,m-solo_inst,Music,Solo instrument,"Music excerpts with only one instrument, excluding percussion.","isolated melody or sequence of notes, solo singing, chords from one instrument"
m-m,m-multi,Music,Multiple instruments,Music excerpts with more than one instrument.,"orchestra, band, duet, multi-instrument composition"
m-other,m-other,Music,Other,Music that doesn't belong to any of the above categories.,
is-0,is-0,Instrument samples,,"Single notes from musical instruments, various versions of the same note, and scales.",
is-p,is-perc,Instrument samples,Percussion,Instrument samples that are percussive (idiophones or membraphones).,"drum, snare, gong, bell, xylophone"
is-s,is-string,Instrument samples,String,Instrument samples that belong to the string instrument family.,"guitar, violin, harp, mandolin"
is-w,is-wind,Instrument samples,Wind,Instrument samples that belong to the wind instrument family (aerophones).,"woodwind, brass, flute, trumpet, saxophone"
is-k,is-keyb,Instrument samples,Piano / Keyboard instruments,"Instrument samples of piano or other keyboard instruments, not synthesized.","piano, harspichord, organ"
is-e,is-electr,Instrument samples,Synths / Electronic,Instrument samples synthesized or produced by electronic means.,"synthesizers (analog/digital), synthesized or electronic samples"
is-other,is-other,Instrument samples,Other,Instrument samples that don't belong to any of the above categories.,
sp-0,sp-0,Speech,,Sounds where human voice is prominent.,
sp-s,sp-solo,Speech,Solo speech,"Recording of a single voice speaking, excluding singing.","talking, script reading"
sp-c,sp-crowd,Speech,Conversation / Crowd,"Several people talking, having a conversation or dialogue.","playground, people talking in public places, conversations"
sp-p,sp-proc,Speech,Processed / Synthetic,"Voice(s) from an indirect source (e.g. radio), processed or synthesized.","phone/radio recordings, robotic voice, text-to-speech"
sp-other,sp-other,Speech,Other,Voice-predominant recordings that don't belong to any of the above categories.,
fx-0,fx-0,Sound effects,,"Isolated sound effects or sound events, each happening one at a time.",
fx-o,fx-obj,Sound effects,Objects / House appliances,"Everyday objects, inside the home or smaller in size.","daily or small objects, tools, weapons, clothes, iron"
fx-v,fx-veh,Sound effects,Vehicles,Sounds produced from a vehicle.,"car passing by, car screeching, wiper, car break, bike, plane, ship"
fx-m,fx-mach,Sound effects,"Other mechanisms, engines, machines","Machine-like sounds, except vehicles and small house electric devices.","drill, lawn mower, gear, electric chainsaw"
fx-h,fx-hum,Sound effects,Human sounds and actions,"Sounds from the human body, excluding speech.","breath, hearthbeat, sneeze, crying, walking, clapping"
fx-a,fx-anim,Sound effects,Animals,Animal vocalizations or sounds.,"cat, insect, sheep, animal walk, growl, purr"
fx-n,fx-natur,Sound effects,Natural elements and explosions,Sound events occuring by natural processes.,"wind, fire, ice, rocks, water, stones, explosions"
fx-ex,fx-exper,Sound effects,Experimental,Experimental sounds or heavily processed audio recordings.,"reversed sounds, weird effects, unusual record techniques or processing"
fx-el,fx-electr,Sound effects,Electronic / Design,Sound effects that are computer-made or designed for user interfaces or animations.,"sci-fi, laser, whoosh, boink, cartoon, ui, sound alerts or notifications"
fx-other,fx-other,Sound effects,Other,Sound effects that don't belong to any of the above categories.,
ss-0,ss-0,Soundscapes,,"Ambiances, field-recordings with multiple events and sound environments.",
ss-n,ss-natur,Soundscapes,Nature,Soundscapes from natural habitats.,"forest, sea, river, farm"
ss-i,ss-ind,Soundscapes,Indoors,Soundscapes from closed or indoor spaces.,"closed room ambience, room tone, office, factory, bar"
ss-u,ss-urban,Soundscapes,Urban,Soundscapes from cityscapes or outdoor places with human intervention.,"city ambience, outside airport, busy road"
ss-s,ss-synth,Soundscapes,Synthetic / Artificial,Soundscapes that are synthesized or computer-made ambiences.,"artificially-created soundscapes, soundscapes from imaginary places"
ss-other,ss-other,Soundscapes,Other,Soundscapes that don't belong to any of the above categories.,
